minbound,shape,unit
-90,29,6
-144,26,6
0,7,6

IX,IY,IZ,value
0,0,0,False
0,0,1,False
0,0,2,False
0,0,3,False
0,0,4,False
0,0,5,False
0,0,6,False
0,1,0,False
0,1,1,False
0,1,2,False
0,1,3,False
0,1,4,False
0,1,5,False
0,1,6,False
0,2,0,False
0,2,1,False
0,2,2,False
0,2,3,False
0,2,4,False
0,2,5,False
0,2,6,False
0,3,0,False
0,3,1,False
0,3,2,False
0,3,3,False
0,3,4,False
0,3,5,False
0,3,6,False
0,4,0,False
0,4,1,False
0,4,2,False
0,4,3,False
0,4,4,False
0,4,5,False
0,4,6,False
0,5,0,False
0,5,1,False
0,5,2,False
0,5,3,False
0,5,4,False
0,5,5,False
0,5,6,False
0,6,0,False
0,6,1,False
0,6,2,False
0,6,3,False
0,6,4,False
0,6,5,False
0,6,6,False
0,7,0,False
0,7,1,False
0,7,2,False
0,7,3,False
0,7,4,False
0,7,5,False
0,7,6,False
0,8,0,False
0,8,1,False
0,8,2,False
0,8,3,False
0,8,4,False
0,8,5,False
0,8,6,False
0,9,0,False
0,9,1,False
0,9,2,False
0,9,3,False
0,9,4,False
0,9,5,False
0,9,6,False
0,10,0,False
0,10,1,False
0,10,2,False
0,10,3,False
0,10,4,False
0,10,5,False
0,10,6,False
0,11,0,False
0,11,1,False
0,11,2,False
0,11,3,False
0,11,4,False
0,11,5,False
0,11,6,False
0,12,0,False
0,12,1,False
0,12,2,False
0,12,3,False
0,12,4,False
0,12,5,False
0,12,6,False
0,13,0,False
0,13,1,False
0,13,2,False
0,13,3,False
0,13,4,False
0,13,5,False
0,13,6,False
0,14,0,False
0,14,1,False
0,14,2,False
0,14,3,False
0,14,4,False
0,14,5,False
0,14,6,False
0,15,0,False
0,15,1,False
0,15,2,False
0,15,3,False
0,15,4,False
0,15,5,False
0,15,6,False
0,16,0,False
0,16,1,False
0,16,2,False
0,16,3,False
0,16,4,False
0,16,5,False
0,16,6,False
0,17,0,False
0,17,1,False
0,17,2,False
0,17,3,False
